name,company,location,type,job category
Human Resources Generalist,Options,"Mohandessin, Giza, Egypt","Full Time, On-site",Human Resources Generalist | Experienced |  Administration |  Customer Service/Support |  Human Resources |  Generalist |  Hiring |  HR generalist |  HR |  Human Resources |  Recruitment
Sales in freight forwarder company,MIF Logistics,"Obour City, Cairo, Egypt","Full Time, On-site",Sales in freight forwarder company | Experienced |  Logistics/Supply Chain |  Freight Forwarder |  Sales |  Freight Forwarding |  Logistics |  freight
Senior Real Estate Sales Agent,BrokMark,"Smart Village, Giza, Egypt","Full Time, On-site",Senior Real Estate Sales Agent | Experienced |  Sales/Retail |  Real Estate |  sales skills |  Negotiation |  Sales Target |  Sales |  Marketing
Product Manager,Valeurs,"Cairo, Egypt","Full Time, On-site",Product Manager | Manager |  Marketing/PR/Advertising |  Advertising |  business |  Communication skills |  Digital Marketing |  digital marketing |  Information Technology (IT) |  English |  Management |  Marketing
Recruitment Specialist,Outsourcing Skill,"Maadi, Cairo, Egypt","Full Time, On-site",Recruitment Specialist | Experienced |  Administration |  Human Resources |  Strategy/Consulting |  Human Resources (HR) |  Recruitment |  specialist |  Recruitment Specialist |  HR Specialist |  Call Center
Mails&chat (B2 English) e& UAE,Etisalat Egypt,"Maadi, Cairo, Egypt","Full Time, On-site",Mails&chat (B2 English) e& UAE | Entry Level |  Banking |  Customer Service/Support |  Operations/Management |  Customer Care |  Customer Service |  Customer Support |  Customer Satisfaction |  Customer Relations |  Customer Operations Performance Centre |  Customer Retention
Real Estate Sales Agent,BrokMark,"Smart Village, Giza, Egypt","Full Time, On-site",Real Estate Sales Agent | Entry Level |  Sales/Retail |  Sales |  Real Estate Sales |  Real Estate |  Negotiation |  sales skills |  Sales Target
Architecture Site Team Leader Engineer,New Plan,"New Capital, Cairo, Egypt","Full Time, On-site",Architecture Site Team Leader Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Architecture |  Architecture Engineering |  Engineering |  Site |  Projects |  PMP
Accounting Manager,PROTEC Egypt,"Sheraton, Cairo, Egypt","Full Time, On-site",Accounting Manager | Manager |  Accounting/Finance |  Accounting |  Finance |  Financial Analysis |  Financial Management |  Commerce |  Microsoft Word |  Accounting Software |  English |  Reporting
Scrum Master,Nahdet Misr Publishing Group,"Giza, Egypt","Full Time, Hybrid",Scrum Master | Experienced |  IT/Software Development |  Agile |  Project |  Master
HR Personnel - Insurance and Database Management,Outsourcing Skill,"Maadi, Cairo, Egypt","Full Time, On-site",HR Personnel - Insurance and Database Management | Experienced |  Administration |  Customer Service/Support |  Human Resources |  Communication |  business |  Human Resources (HR) |  HR |  Insurance |  Management |  Recruitment
IT Specialist,Outsourcing Skill,"Maadi, Cairo, Egypt","Full Time, On-site",IT Specialist | Experienced |  Installation/Maintenance/Repair |  IT/Software Development |  Engineering - Telecom/Technology |  CCNA |  Communication |  Communication skills |  English |  firewalls |  Computer Science |  Information Technology (IT)
Logistics Coordinator,Zamil Steel Buildings Co,"6th of October, Giza, Egypt","Full Time, On-site",Logistics Coordinator | Experienced |  Logistics/Supply Chain |  Logistics |  Air Freight |  Customs Cearance |  Supply Chain |  Supply |  Communication |  English |  Microsoft Office |  Freight Forwarder
Electrical Maintenance Engineer,FMPlus Property & Facility Management,"Cairo, Egypt","Full Time, On-site",Electrical Maintenance Engineer | Experienced |  Installation/Maintenance/Repair |  Engineering - Mechanical/Electrical |  Electrical Systems |  Maintenance |  Mechanical Engineering |  Electrical Engineering |  Engineering |  Electrical
Project Manager,ZINAD IT,"Cairo, Egypt","Full Time, On-site",Project Manager | Manager |  IT/Software Development |  Project/Program Management |  Engineering - Telecom/Technology |  Agile |  business |  Communication |  Computer Science |  Engineering |  Information Technology (IT) |  PMP
Travel Agent,Oreya,"Cairo, Egypt","Full Time, On-site",Travel Agent | Entry Level |  Customer Service/Support |  Tourism/Travel |  Tourism |  Travel |  Customer Support |  Customer Service |  Sales
sales,El Lwaa law firm,"Cairo, Egypt","Full Time, On-site",sales | Experienced |  Sales/Retail |  Sales |  sales skills |  Sales Target |  service sales
Sales Agent For Importing Automotive,EUROWHEELS,"Cairo, Egypt","Full Time, Hybrid",Sales Agent For Importing Automotive | Experienced |  Sales/Retail |  Sales |  Automotive |  sales skills
Receptionist,hayahskillsdevelopmentcenter,"Dokki, Giza, Egypt","Full Time, On-site",Receptionist | Experienced |  Administration |  Microsoft Office |  Admin |  Communication |  Administration |  Skills |  Microsoft
Survey Engineer - Real estate,Value Development,"New Cairo, Cairo, Egypt","Full Time, On-site",Survey Engineer - Real estate | Experienced |  Engineering - Construction/Civil/Architecture |  Creative/Design/Art |  AutoCAD |  Construction |  Geomatics |  gps |  Engineering |  Surveying |  Analysis |  Civil
Professional Service Coordinator,ZINAD IT,"Cairo, Egypt","Full Time, Hybrid",Professional Service Coordinator | Experienced |  Administration |  Customer Service/Support |  Project/Program Management |  Administration |  Customer Service |  Communication |  Communication skills |  Customer Care |  Customer Support |  Project Coordination
CFO,WashThru,"New Heliopolis, Cairo, Egypt","Full Time, Hybrid",CFO | Senior Management |  Accounting/Finance |  Business Development |  Accounting |  Financial Analysis |  Financial Management |  Management |  Financial |  Finance |  Risk Management |  CFO
Accountant - Accounting services,"Izam, inc.","Smart Village, Giza, Egypt","Full Time, On-site",Accountant - Accounting services | Experienced |  Accounting/Finance |  Banking |  Customer Service/Support |  Accounting |  ERP |  ERP systems |  General Accounting |  Accounting Reports |  Financial Statements
Quality Manager,Sprints.ai,"Maadi, Cairo, Egypt","Full Time, On-site",Quality Manager | Manager |  Quality |  ISO |  quality |  Quality Assurance |  Quality Management |  Education |  Engineering |  Management |  Six Sigma |  Quality Control
Technical Project Manager,Khales,"6th of October, Giza, Egypt","Full Time, On-site",Technical Project Manager | Experienced |  Project/Program Management |  Communication skills |  Computer Science |  Engineering |  PMP |  Project |  Project Management |  Planning |  English
Client Coordinator,Confidential,"Madinaty, Cairo, Egypt","Full Time, On-site",Client Coordinator | Entry Level |  Administration |  Customer Service/Support |  Medical/Healthcare |  Communication skills |  Customer Service |  Customer Support |  Operations |  Customer Care
Receivables Accountant,Ready Pack Technology,"Obour City, Cairo, Egypt","Full Time, On-site",Receivables Accountant | Experienced |  Accounting/Finance |  accountant |  Accounting |  Accounts Receivable |  Collection |  Finance
Social Media Specialist,Elaskary&Associates,"Fleming, Alexandria, Egypt","Part Time, On-site",Social Media Specialist | Manager |  Creative/Design/Art |  Writing/Editorial |  Marketing/PR/Advertising |  Social Media |  Communication |  Marketing |  media
Data Entry Clerk,Choozle,"Angono, Philippines","Internship, On-site",Data Entry Clerk | Entry Level |  Customer Service/Support |  Writing/Editorial |  entry |  Data Entry
Sales Engineer,Aly Arafa,"New Cairo, Cairo, Egypt","Full Time, On-site",Sales Engineer | Experienced |  Sales/Retail |  Sales |  sales skills |  Selling |  Sales Target |  Engineering |  Communication |  Presentation
Senior Flutter Developer (On-site),Confidential,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Flutter Developer (On-site) | Experienced |  IT/Software Development |  Android Development |  Flutter |  APIs |  Software Development |  iOS |  Android |  Github |  Information Technology (IT) |  Flutter developer
Inventory Specialist,Innovinity Medical Hub,"Heliopolis, Cairo, Egypt","Full Time, On-site",Inventory Specialist | Entry Level |  Administration |  Logistics/Supply Chain |  Medical/Healthcare |  Logistics |  Administration |  Supply Chain |  Business Administration |  Purchasing
Personal Branding Consultant,Octopus holds,"Smouha, Alexandria, Egypt","Full Time, On-site",Personal Branding Consultant | Experienced |  Business Development |  Marketing/PR/Advertising |  Strategy/Consulting |  Branding |  Consulting |  Marketing |  Networking |  Sales |  Project Management |  Public Relations (PR)
Business Excellence Manager,Confidential,"Cairo, Egypt","Full Time, On-site",Business Excellence Manager | Manager |  Business Development |  Strategy/Consulting |  Facility Management |  Business Process Management |  Six Sigma
Python internship (Unpaid),Teqneia,"Sheikh Zayed, Giza, Egypt","Internship, Hybrid",Python internship (Unpaid) | Entry Level |  IT/Software Development |  Computer Science |  Information Technology (IT) |  Git |  Python |  Django |  Software Development |  Programming |  MySQL |  JavaScript
Receptionist,Fizik Egypt,"New Cairo, Cairo, Egypt","Full Time, On-site",Receptionist | Experienced |  Administration |  Customer Service/Support |  Medical/Healthcare |  Reception |  Customer Care
Purchasing Specialist,ECRAL,"Nasr City, Cairo, Egypt","Full Time, On-site",Purchasing Specialist | Experienced |  Purchasing/Procurement |  Logistics |  Purchasing |  Purchasing Specialist |  Supply Chain
Foreman Architect,Confidential,"Alsadat City, Monufya, Egypt","Full Time, On-site",Foreman Architect | Experienced |  Engineering - Construction/Civil/Architecture |  foreman |  Architecture |  Construction
Warehouse Manager,Nile Wood,"Alsadat City, Monufya, Egypt","Full Time, On-site",Warehouse Manager | Manager |  Logistics/Supply Chain |  Operations/Management |  Logistics |  Supply Chain |  Warehousing Management
Stock Control Analysis,Ghataty,"Cairo, Egypt","Full Time, On-site",Stock Control Analysis | Senior Management |  Accounting/Finance |  Banking |  Logistics/Supply Chain |  Financial Analysis |  Finance
Bilingual Accountant,Mantle International,"Cairo, Egypt","Full Time, On-site",Bilingual Accountant | Entry Level |  Accounting/Finance |  Strategy/Consulting |  Training/Instructor |  Accounting |  Technical Training
Admin Coordinator,Arab Academy,"Garden City, Cairo, Egypt","Full Time, On-site",Admin Coordinator | Experienced |  Administration |  Admin |  Administration |  English |  Computer Skills |  Microsoft Office |  Office management
SEO Content Creator,"Izam, inc.","Mohandessin, Giza, Egypt","Full Time, On-site",SEO Content Creator | Experienced |  Writing/Editorial |  IT/Software Development |  Technical Writing |  Writing |  SEO |  Arabic |  English |  Ms Office |  Marketing
Supervisor - Cosmocity - Arkan Plaza,Cosmofun,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Supervisor - Cosmocity - Arkan Plaza | Experienced |  Customer Service/Support |  Hospitality/Hotels/Food Services |  Operations/Management |  Operations |  Customer Service |  English |  Sales Target |  Sales |  Hospitality |  Management
Guest Service Agent - Cosmofun-D5M,Cosmofun,"Helwan, Cairo, Egypt","Full Time, On-site",Guest Service Agent - Cosmofun-D5M | Entry Level |  Hospitality/Hotels/Food Services |  Sales/Retail |  Tourism/Travel |  Customer Service |  Customer Care |  Customer Support |  Service |  Hospitality
Guest Service Team Leader - Cosmofun - D5M,Cosmofun,"Helwan, Cairo, Egypt","Full Time, On-site",Guest Service Team Leader - Cosmofun - D5M | Manager |  Tourism/Travel |  Experience |  Entertainment |  Arabic |  Communication |  English |  Hospitality |  Sales |  Information Technology (IT)
Part Time- Guest Service Agent - Cosmofun-D5M,Cosmofun,"Helwan, Cairo, Egypt","Part Time, On-site",Part Time- Guest Service Agent - Cosmofun-D5M | Entry Level |  Hospitality/Hotels/Food Services |  Sales/Retail |  Tourism/Travel |  Customer Service |  Customer Care |  Customer Support |  Service |  Hospitality
Sales Specialist,Monglish Academy,"Cairo, Egypt","Full Time, On-site",Sales Specialist | Experienced |  Business Development |  Customer Service/Support |  Sales/Retail |  business |  Communication |  Customer |  Customer Service |  Education |  Industry |  Marketing
Software Quality Control Lead,Tafeel,"Nasr City, Cairo, Egypt","Full Time, On-site",Software Quality Control Lead | Experienced |  IT/Software Development |  Quality |  Engineering - Telecom/Technology |  Automation |  Automation Testing |  Agile |  Computer Science |  Information Technology (IT) |  ISTQB |  Quality Control
Accountant,Alamya,"Nozha, Cairo, Egypt","Full Time, On-site",Accountant | Experienced |  Accounting/Finance |  Sales/Retail |  Sales |  Finance |  Financial Management
Senior Full Stack .NET Developer,Tafeel,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Full Stack .NET Developer | Experienced |  IT/Software Development |  Engineering - Telecom/Technology |  CSS3 |  Computer Science |  Software Development |  JavaScript |  Java |  Software Engineering |  SQL |  Information Technology (IT)
Senior Accountant,IMOCO,"Nasr City, Cairo, Egypt","Full Time, On-site",Senior Accountant | Experienced |  Accounting/Finance |  Administration |  Banking |  accountant |  CMA |  CPA |  Finance |  GAAP |  Financial Management |  Accounting Software
Call Center agent b1+ english speaker,Etisalat Egypt,"Cairo, Egypt","Full Time, On-site",Call Center agent b1+ english speaker | Entry Level |  Accounting/Finance |  Administration |  Customer Service/Support |  Call Center |  English |  Sales |  sales skills |  Telesales |  Customer Care |  Customer Service
Digital Marketing,Cairo Transport & Touring,"Cairo, Egypt","Full Time, On-site",Digital Marketing | Experienced |  Creative/Design/Art |  Marketing/PR/Advertising |  Tourism/Travel |  Communication skills |  media |  Social Media |  Digital Marketing |  E-Marketing |  Content |  Communication
Human Resources Supervisor,Confidential,"New Cairo, Cairo, Egypt","Full Time, On-site",Human Resources Supervisor | Experienced |  Human Resources |  Personnel |  Recruitment |  Supervisor |  Human Resources |  Human Resources (HR) |  Microsoft Office |  HR
