,TimeStamp,Title,Years of Experiences ,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site
0,2024-02-19 20:09:36.277000,Dotnet Developer ,2,8000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1,2024-02-19 20:10:43.450000,Android deve,,6000,2024-02-06 00:00:00,Egyption,Hybird,Full Time,Assiut 
2,2024-02-19 20:23:24.387000,Android Developer,1,10000,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Cairo
3,2024-02-19 20:27:08.358000,DevOps Engineer ,1 month ,10000,2024-02-19 00:00:00,Egyption,On Site,Full Time,Assiut 
4,2024-02-19 20:31:36.432000,Java ,1,20000,2024-02-19 00:00:00,Egyption,On Site,Full Time,Cairo
5,2024-02-19 20:32:35.324000,R&D computer vision ,1,15000,2023-07-16 00:00:00,Egyption,Remotley,Full Time,Cairo 
9,2024-02-19 20:49:55.889000,Dot net developer,2 months,6000,2024-02-29 00:00:00,Egyption,On Site,Full Time,Mansoura
10,2024-02-19 20:59:43.384000,raact developer ,1,15000,2024-03-01 00:00:00,Egyption,Remotley,Full Time,Cairo
11,2024-02-19 21:02:18.888000,Full Stack developer ,2,5000,2024-02-28 00:00:00,Egyption,Remotley,Full Time,Cairo
13,2024-02-19 21:04:02.696000,Data Analysis,1,6000,2024-01-01 00:00:00,Egyption,On Site,Full Time,Banha
14,2024-02-19 21:04:29.312000,BI developer ,1,"10000 gross, 8820 net",2024-01-01 00:00:00,Egyption,On Site,Full Time,6 October 
16,2024-02-19 21:17:11.957000,Full Stack developer,3,21,2024-02-19 00:00:00,Egyption,Hybird,Full Time,Cairo
17,2024-02-19 21:18:13.108000,Backend .netasp,1,8000-12000,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo
18,2024-02-19 21:18:48.057000,Data Engineer,1,18k egp,2024-02-19 00:00:00,Egyption,Hybird,Full Time,"Cairo, Riyadh"
19,2024-02-19 21:18:56.124000,1,1,1,1/1/0001,Egyption,On Site,Full Time,
